character_slug,control_type,move_name_jp,tokens_classic,tokens_modern,tokens_for_mode,tokens_norm_classic,tokens_norm_modern,tokens_norm_for_mode,match_status,manual_classic,manual_modern_full,manual_modern_short,required_special_keys,consume_special_keys,gain_special_keys,variant_tag,followup_parent_move_name_jp,followup_child_variant,followup_window,applies_poison_on_hit_override,triggers_poison_bloom_on_hit_override,poison_bloom_damage_override,poison_bloom_on_hit_override,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scale,drive_gain,drive_loss_guard,drive_loss_punish,sa_gain,attribute,note,row_kind,mmdk_action_id,mmdk_action_name,mmdk_action_base,frame_link_move_name_jp,mmdk_suggested_tokens,mmdk_source_key,manual_self_pos_start_x,manual_self_pos_end_x,manual_opp_pos_start_x,manual_opp_pos_end_x,manual_vs_distance_start,manual_vs_distance_end,calc_manual_self_move_x_total,calc_manual_target_move_x_sum,manual_note
jp,modern,ジラントナガー 強 強 強,,,,,,,missing,,,,,,,,,,,,,,,21,21-23,22,3,-4,,1000,,2000,-5000,-10000,1000,下,,frame,,,,,,,,,,,,,,,
jp,modern,弱 トリグラフ ( 弱),,,,,1SP22L,1SP22L,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,22,22-31,全体 55,D,-2,SA3,640 (800),,1000,-2500,-3000,800,上 ・ 弾,,frame,956,SPA_SP1(3) PROJ(1),,,,,,,,,,,,,
jp,modern,中 トリグラフ ( 中),,,,,2SP22M,2SP22M,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,22,22-31,全体 55,D,-2,SA3,640 (800),,1000,-2500,-3000,800,上 ・ 弾,,frame,957,SPA_SP1(1),,,,,,,,,,,,,
jp,modern,強 トリグラフ ( 強),,,,,3SP22H,3SP22H,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,22,22-31,全体 55,D,-2,SA3,640 (800),,1000,-2500,-3000,800,上 ・ 弾,,frame,958,SPA_SP1(2),,,,,,,,,,,,,
jp,modern,OD 弱 トリグラフ ( 弱 中),,,,,1AutoSP22LM,1AutoSP22LM,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,20,20-39,全体 53,D,3,SA2,800 (1000),始動補正20％,0,-3000,-5000,1000,上 ・ 弾,,frame,959,SPA_SP1(3),,,,,,,,,,,,,
jp,modern,OD 中 トリグラフ ( 弱 強),,,,,2AutoSP22LH,2AutoSP22LH,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,20,20-39,全体 53,D,3,SA2,800 (1000),始動補正20％,0,-3000,-5000,1000,上 ・ 弾,,frame,960,SPA_SP1(4),,,,,,,,,,,,,
jp,modern,OD 強 トリグラフ ( 中 強),,,,,3AutoSP22MH,3AutoSP22MH,norm_match,22LP|22MP|22HP|22LPMP|22LPHP|22MPHP,1SP22L|2SP22M|3SP22H|1AutoSP22LM|2AutoSP22LH|3AutoSP22MH,,,,,,,,,,,,,20,20-39,全体 53,D,3,SA2,800 (1000),始動補正20％,0,-3000,-5000,1000,上 ・ 弾,,frame,961,SPA_SP1(5),,,,,,,,,,,,,
jp,modern,弱 ストリボーグ,,5SP,5SP,,5SP,5SP,match,236LP|236MP|236HP|236PP,5SP|AutoM-M-M-M-M-M|AutoSP,,,,,,,,,,,,,16,16-21,全体 49,D,-10,SA3,800,,2000,-3500,-5000,800,上,ジャストパリィ時はドライブゲージを10000増加 飛び道具相殺判定あり（1回）,frame,900,SPA_SP3,,,,,,,,,,,,,
jp,modern,中 ストリボーグ 中 中 中 中 中 中,,,,,,,missing,,,,,,,,,,,,,,,20,"20-26 20-22, 24-26",全体 53,D,-8,SA3,1200,,2000,-3500,-5000,800,上,ジャストパリィ時はドライブゲージを10000増加 飛び道具相殺判定あり（1回）,frame,,,,,,,,,,,,,,,
jp,modern,OD ストリボーグ,,AutoSP,AutoSP,,AutoSP,AutoSP,match,236LP|236MP|236HP|236PP,5SP|AutoM-M-M-M-M-M|AutoSP,,,,,,,,,,,,,19,"19-30 19-21, 28-30",全体 52,D,2,SA2,800,,0,-3500,-5000,800,上,ジャストパリィ時はドライブゲージを10000増加 飛び道具相殺判定あり（1回） ジャストパリィ時硬直3F増加 初段のみSA2/SA3/CAでキャンセル可能,frame,904,SPA_SP3(4),,,,,,,,,,,,,
jp,modern,弱 ヴィーハト 弱,,,,,,,missing,214LP|214MP|214HP|214LPMP|214LPHP|214MPHP,214L|214M|214H|214LM|214LH|214MH,,,,,,,,,,,,,150,150-159,全体 50,,,,800,始動補正20％,1000,-2500,-3000,1000,上 ・ 弾,,frame,915,SPA_SP2_START,,,,,,,,,,,,,
jp,modern,中 ヴィーハト 中,,,,,,,missing,214LP|214MP|214HP|214LPMP|214LPHP|214MPHP,214L|214M|214H|214LM|214LH|214MH,,,,,,,,,,,,,150,150-159,全体 50,,,,800,始動補正20％,1000,-2500,-3000,1000,上 ・ 弾,,frame,916,SPA_SP2_START(1),,,,,,,,,,,,,
jp,modern,強 ヴィーハト 強,,,,,,,missing,214LP|214MP|214HP|214LPMP|214LPHP|214MPHP,214L|214M|214H|214LM|214LH|214MH,,,,,,,,,,,,,150,150-159,全体 50,,,,800,始動補正20％,1000,-2500,-3000,1000,上 ・ 弾,,frame,917,SPA_SP2_START(2),,,,,,,,,,,,,
jp,modern,OD 弱 ヴィーハト 弱 中,,,,,,,missing,,,,,,,,,,,,,,,110,"110-149 110-119, 140-149",全体 40,,,,1000,始動補正20％,0,-3000,-5000,800,上 ・ 弾,,frame,,,,,,,,,,,,,,,
jp,modern,OD 中 ヴィーハト 弱 強,,,,,,,missing,,,,,,,,,,,,,,,110,"110-149 110-119, 140-149",全体 40,,,,1000,始動補正20％,0,-3000,-5000,800,上 ・ 弾,,frame,,,,,,,,,,,,,,,
jp,modern,OD 強 ヴィーハト 中 強,,,,,,,missing,,,,,,,,,,,,,,,110,"110-149 110-119, 140-149",全体 40,,,,1000,始動補正20％,0,-3000,-5000,800,上 ・ 弾,,frame,,,,,,,,,,,,,,,
jp,modern,ヴィーハト・アクノ （ヴィーハト設置中に） 弱 中,,,,,,,missing,,,,,,,,,,,,,,,,,全体 44,,,,0,,0,0,0,0,,6-25F　完全無敵 26F目から空中判定 31F目から行動可,frame,,,,,,,,,,,,,,,
jp,modern,ヴィーハト・チェーニ （ヴィーハト設置中に） 強,,,,,,,missing,214HP,214H,,,,,,,,,,,,,,,全体 40,,,,0,,0,0,0,0,,,frame,940,SPA_SP2_BOM(1),,,,,,,,,,,,,
jp,modern,アムネジア,,6SP,6SP,,6SP,6SP,match,22K|22KK,6SP|6AutoSP,,,,,,,SPA_SP4_OUT,,,,,,3,3-20,35,,,,640,始動補正50％※ 即時補正60％,1000,-2500,-3000,1000,上 ・ 弾,当身成立時にドライブゲージ10000増加 当身成立時に飛び道具が発生 ※コンボの3段目以降に補正がかかる,frame,995,SPA_SP4_ATE,,,,,,,,,,,,,
jp,modern,OD アムネジア,,6AutoSP,6AutoSP,,6AutoSP,6AutoSP,match,22K|22KK,6SP|6AutoSP,,,,,,,SPA_SP4_OUT(1),,,,,,1,1-20,35,,,,960,始動補正50％※ 即時補正60％,0,-3000,-5000,1200,上 ・ 弾,当身成立時に飛び道具が発生 ※コンボの3段目以降に補正がかかる,frame,1000,SPA_SP4_ATE(1),,,,,,,,,,,,,
jp,modern,弱 トルバラン 弱,,,,,,,missing,236LK|236MK|236HK,236L|236M|236H,,,,,,,,,,,,,22,,全体 50,D,-6,SA3,800,,1000,-2500,-3000,600,上 ・ 弾,発生は密着で発動した場合の数値,frame,971,SPA_SP5_CANCEL,,,,,,,,,,,,,
jp,modern,中 トルバラン 中,,,,,,,missing,236LK|236MK|236HK,236L|236M|236H,,,,,,,,,,,,,26,,全体 50,6,-8,SA3,1000,始動補正20%,1000,-2500,-3000,600,中 ・ 弾,発生は密着で発動した場合の数値,frame,972,SPA_SP5_CANCEL(1),,,,,,,,,,,,,
jp,modern,強 トルバラン 強,,,,,,,missing,236LK|236MK|236HK,236L|236M|236H,,,,,,,,,,,,,26,,全体 50,6,-8,SA3,1000,始動補正20%,1000,-2500,-3000,600,下 ・ 弾,発生は密着で発動した場合の数値,frame,973,SPA_SP5_CANCEL(2),,,,,,,,,,,,,
jp,modern,OD トルバラン,,236AnyAny,236AnyAny,,236AnyAny,236AnyAny,match,236KK,236AnyAny,,,,,,,,,,,,,22,,全体 50,D,25,SA2,800,始動補正20%,0,-5000,-5000,800,上 ・ 弾,発生は密着で発動した場合の数値 初段のみSA2/SA3/CAでキャンセル可能,frame,977,SPA_SP5_END(3),,,,,,,,,,,,,
jp,modern,アブニマーチ,,4SP,4SP,,4SP,4SP,match,214K|214KK,4SP|4AutoSP,,,,,,,,,,,,,26,,全体 72,,,,1440,即時補正10%,2500,0,-10000,3000,投,■クラシック操作 パニッシュカウンター時のダメージ2070 発生、全体は密着で発動した場合の数値 ■モダン操作時 パニッシュカウンター時のダメージ（1656）,frame,1010,SPA_SP6_NGS,,,,,,,,,,,,,
jp,modern,OD アブニマーチ,,4AutoSP,4AutoSP,,4AutoSP,4AutoSP,match,214K|214KK,4SP|4AutoSP,,,,,,,,,,,,,26,,全体 72,,,,2080,即時補正10%,0,0,-10000,3000,投,■クラシック操作 パニッシュカウンター時のダメージ2990 発生、全体は密着で発動した場合の数値 ■モダン操作時 パニッシュカウンター時のダメージ（2392）,frame,1016,SPA_SP6_NGS(1),,,,,,,,,,,,,
jp,modern,SA1 チェルノボーグ 強 ( 弱),,,,,,,missing,,,,,,,,,,,,,,,8,,全体 84,D,-33,,1600 (2000),,0,-2500,-5000,0,上,1-10F　打撃・投げに対して無敵 最低保障ダメージ30％ カウンター/パニッシュカウンターで数値が変動しない,frame,,,,,,,,,,,,,,,
jp,modern,SA2 ラヴーシュカ 強 ( 中),,,,,,,missing,,,,,,,,,,,,,,,29,,全体 13,,,,1600 (2000),始動補正25％※ 即時補正25％,0,-4000,-10000,0,上 中 下 中,最低保障ダメージ40％ カウンター/パニッシュカウンターで数値が変動しない ※コンボの3段目以降に補正がかかる,frame,,,,,,,,,,,,,,,
jp,modern,SA3 ザプリェット 強 ( 強),,,,,,,missing,,,,,,,,,,,,,,,18,18-23,62,D,-50,,3200 (4000),※即時補正10%,0,-7500,-15000,0,上,1-23F　完全無敵 最低保障ダメージ50％ カウンター/パニッシュカウンターで数値が変動しない ※必殺技キャンセル時のみ適用,frame,,,,,,,,,,,,,,,
jp,modern,CA ザプリェット （体力25%以下で） 強 (（体力25%以下で） 強),,,,,,,missing,,,,,,,,,,,,,,,18,18-23,62,D,-50,,3600 (4500),※即時補正10%,0,-10000,-20000,0,上,1-23F　完全無敵 最低保障ダメージ50％ カウンター/パニッシュカウンターで数値が変動しない ※必殺技キャンセル時のみ適用,frame,,,,,,,,,,,,,,,
jp,modern,ラヴィーナ （近距離で） 弱 中,,,,,,,missing,,,,,,,,,,,,,,,5,5-7,23,D,,,1200,始動補正40% 即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 ・ダメージ2040 ・SAゲージ4000増加 ・ハードノックダウン,frame,,,,,,,,,,,,,,,
jp,modern,ウラガーン （近距離で） 弱 中,,,,,,,missing,,,,,,,,,,,,,,,5,5-7,23,D,,,1200,始動補正40% 即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 ・ダメージ2040 ・SAゲージ4000増加 ・ハードノックダウン,frame,,,,,,,,,,,,,,,
jp,modern,タルナード （ジャンプ中に）（近距離で） 弱 中,,,,,,,missing,,,,,,,,,,,,,,,5,5-7,着地後3,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 ・ダメージ2040 ・SAゲージ4000増加 ・ハードノックダウン,frame,,,,,,,,,,,,,,,
jp,modern,前方ステップ,,66,66,,66,66,match,66,66,,,,,,,,,,,,,,,全体 22,,,,0,,0,0,0,0,,,frame,17,BAS_DASH_F,,,,,,,,,,,,,
jp,modern,後方ステップ,,44,44,,44,44,match,44,44,,,,,,,,,,,,,,,全体 23,,,,0,,0,0,0,0,,1-15F 投げ無敵,frame,18,BAS_DASH_B,,,,,,,,,,,,,
jp,modern,ドライブインパクト（エスパーダ）,,DI,DI,,DI,DI,match,HPHK,DI,,,,,,,,,,,,,26,26-27,35,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F　 アーマー判定（2回） パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 ・地上ヒット膝崩れ ・空中ヒットきりもみダウン ・SAゲージ3000増加,frame,855,ATK_CTA,,,,,,,,,,,,,
jp,modern,[ガード時]ドライブリバーサル（エクシリオ） （ガード中 or ドライブパリィ成立中に）,,,,,6DI,6DI,norm_match,6HPHK,6DI,,,,,,,,,,,,,20,20-22,26,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ 1-22F 完全無敵 ヒット時硬直5F増加,frame,850,ATK_CTA_4,,,,,,,,,,,,,
jp,modern,[起き上がり時]ドライブリバーサル（エクシリオ） （起き上がり時に）,,,,,6DI,6DI,norm_match,6HPHK,6DI,,,,,Wakeup,,,,,,,,18,18-20,26,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ 1-20F 完全無敵 ヒット時硬直5F増加,frame,850,ATK_CTA_4,,,,,,,,,,,,,
jp,modern,ドライブパリィ,,DP,DP,,DP,DP,match,MPMK,DP,,,,,,,,,,,,,1,[※2] 1-12,33,,,※1,0,,0,0,0,0,,※1 動作の4F目からドライブラッシュでキャンセル可 ※2 ボタンホールドでパリィの持続を延長可 硬直部分はガードのみ可 動作中常に被パニッシュカウンター判定,frame,480,DPA_STD_START,,,,,,,,,,,,,
jp,modern,ジャストパリィ（打撃） ガード方向,,,,,,,missing,,,,,,,,,,,,,,,1,,1,,,,0,始動補正50％,,,,,,相手の攻撃に対応した方向入力を行った状態でパリィを入力し、 入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する （上段/中段攻撃に対して←方向、下段攻撃に対しては↙方向) 方向が正しくなかった場合は通常のドライブパリィとなり、追加でDゲージが3000増加する 硬直終了から5Fの間完全無敵 （パリィを継続した場合は無敵にならない） ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター,frame,,,,,,,,,,,,,,,
jp,modern,ジャストパリィ（飛び道具）,,DP,DP,,DP,DP,match,MPMK,DP,,,,,,,,,,,,,1,,10,,,,0,始動補正50％,,,,,,パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する 暗転演出が入らない ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター,frame,480,DPA_STD_START,,,,,,,,,,,,,
jp,modern,パリィドライブラッシュ （ドライブパリィ中に）,,,,,66,66,norm_match,66,66,,,,,,,,,,,,,,,全体 45,,,※,0,乗算補正15％,0,0,0,0,,暗転10F ※動作9F目から攻撃行動にキャンセル可 24F目からパリィ以外の行動でキャンセル可,frame,17,BAS_DASH_F,,,,,,,,,,,,,
jp,modern,キャンセルドライブラッシュ （必殺技キャンセル可能な攻撃ヒット中に） ( ),,,,,66or5or6DP,66or5or6DP,norm_match,66|66or5or6MPMK,66|66or5or6DP,,,,,,,,,,,,,,,全体 46,,,※,0,乗算補正15％,0,0,0,0,,暗転9F ※動作10F目から攻撃行動にキャンセル可 25F目からパリィ以外の行動でキャンセル可,frame,739,ATK_CTA_DASH,,,,,,,,,,,,,
dhalsim,classic,立ち弱P（手刀チョップ） 弱,,,,,,,missing,LP,L,,,,,,,ATK_5LP_B,,,,,,4,4-6,8,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,frame,600,ATK_5LP,,,,,,,,,,,,,
dhalsim,classic,立ち弱K（合掌フロントローキック） 弱,,,,,,,missing,LK,,,,,,,,,,,,,,9,9-12,11,2,-6,C,300,始動補正20%,250,-500,-2000,300,上,,frame,605,ATK_5LK,,,,,,,,,,,,,
dhalsim,classic,立ち中P（ズームストレート） 中,,,,,,,missing,MP,M,,,,,,,,,,,,,14,14-16,19,0,-5,,700,,2000,-3000,-6000,500,上,,frame,603,ATK_5MP,,,,,,,,,,,,,
dhalsim,classic,立ち中K（合掌ズームローキック） 中,,,,,,,missing,MK,,,,,,,,,,,,,,12,12-14,18,-2,-6,,600,,2000,-3000,-6000,500,上,,frame,606,ATK_5MK,,,,,,,,,,,,,
dhalsim,classic,立ち強P（ダブルズームパンチ） 強,,,,,,,missing,HP,H,,,,,,,,,,,,,16,16-19,27,-6,-11,,1000,,4000,-5000,-8000,1000,上,パニッシュカウンター時吹き飛びダウン,frame,604,ATK_5HP,,,,,,,,,,,,,
dhalsim,classic,立ち強K（合掌ズームスピンキック） 強,,,,,,,missing,HK,AutoH,,,,,,,,,,,,,17,17-19,20,3,-6,C,800,,2500,-4000,-8000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時+24F,frame,607,ATK_5HK,,,,,,,,,,,,,
dhalsim,classic,しゃがみ弱P（手刀水平チョップ） 弱,,,,,,,missing,2LP,1L-2L,,,,,,,ATK_2LP(1),,,,,,5,5-7,9,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,frame,612,ATK_2LP,,,,,,,,,,,,,
dhalsim,classic,しゃがみ弱K（スライディング） 弱,,,,,,,missing,2LK,2L,,,,,,,"ATK_2LK_B,ATK_2LP(1)",,,,,,4,4-10,16,-5,-10,,200,,250,-500,-2000,300,下,,frame,618,ATK_2LK,,,,,,,,,,,,,
dhalsim,classic,しゃがみ中P（しゃがみズームパンチ） 中,,,,,,,missing,2MP,AutoL,,,,,,,,,,,,,12,12-14,16,0,-4,C,600,,2000,-3000,-6000,500,上,,frame,615,ATK_2MP,,,,,,,,,,,,,
dhalsim,classic,しゃがみ中K（ヨガスライディング） 中,,,,,,,missing,2MK,2M,,,,,,,,,,,,,10,10-22,14,-3,-10,,500,始動補正20%,1000,-2000,-3000,500,下,,frame,621,ATK_2MK,,,,,,,,,,,,,
dhalsim,classic,しゃがみ強P（ダブルヨガパンチ） 強,,,,,,,missing,2HP,2H,,,,,,,,,,,,,19,19-22,20,3,-8,,800,,3500,-4000,-8000,1000,下,空振り時硬直4F増加,frame,616,ATK_2HP,,,,,,,,,,,,,
dhalsim,classic,しゃがみ強K（ロングスライディング） 強,,,,,,,missing,2HK,3H,,,,,,,,,,,,,12,12-27,20,D,-16,,900,,2000,-4000,-7000,1000,下,カウンター/パニッシュカウンター時ダウン時間増加,frame,622,ATK_2HK,,,,,,,,,,,,,
dhalsim,classic,ジャンプ弱P（ジャンプ掌底） （ジャンプ中に） 弱,,,,,,,missing,LP,L,,,,,,,,,,,,,4,4-7,着地後3,,,,300,,750,-1500,-2000,300,中,,frame,640,ATK_8LP,,,,,,,,,,,,,
dhalsim,classic,ジャンプ弱K（ジャンプヨガ前蹴り） （ジャンプ中に） 弱,,,,,,,missing,LK,AutoL,,,,,,,,,,,,,6,6-9,着地後3,,,,300,,750,-1500,-2000,300,中,めくり性能,frame,644,ATK_8LK,,,,,,,,,,,,,
dhalsim,classic,ジャンプ中P（ジャンプズームサイドパンチ） （ジャンプ中に） 中,,,,,,,missing,MP,M,,,,,,,,,,,,,9,9-14,着地後3,,,C,700,始動補正20%,1500,-3000,-4000,500,上,空中コンボ中にヒット時吹き飛びダウン,frame,641,ATK_8MP,,,,,,,,,,,,,
dhalsim,classic,ジャンプ中K（合掌ジャンプアンダーキック） （ジャンプ中に） 中,,,,,,,missing,MK,AutoM,,,,,,,,,,,,,11,11-16,着地後3,,,,500,始動補正20%,1500,-3000,-4000,500,中,,frame,645,ATK_8MK,,,,,,,,,,,,,
dhalsim,classic,ジャンプ強P（合掌ハンマー） （ジャンプ中に） 強,,,,,,,missing,HP,H,,,,,,,,,,,,,13,13-16,着地後3,,,,800,始動補正20%,2500,-5000,-6000,1000,中,空中ヒット時叩きつけダウン,frame,604,ATK_8HP,,,,,,,,,,,,,
dhalsim,classic,ジャンプ強K（ジャンプズームハイキック） （ジャンプ中に） 強,,,,,,,missing,HK,AutoH,,,,,,,,,,,,,10,10-19,着地後3,,,,800,始動補正20%,2500,-5000,-6000,1000,中,,frame,646,ATK_8HK,,,,,,,,,,,,,
dhalsim,classic,ヨガアッパー 中,,,,,,,missing,4MP,4M,,,,,,,,,,,,,8,8-13,16,2,-3,C,700,,1500,-3000,-4000,500,上,強制立ち効果,frame,655,ATK_4MP,,,,,,,,,,,,,
dhalsim,classic,ヨガランス 強,,,,,,,missing,4HP,4H,,,,,,,,,,,,,14,14-20,29,-9,-16,C,900,始動補正20%,2500,-5000,-8000,1000,上,空中カウンター/パニッシュカウンター時吹き飛びダウン,frame,656,ATK_4HP,,,,,,,,,,,,,
dhalsim,classic,涅槃パンチ 強,,,,,,,missing,1HP,1H,,,,,,,,,,,,,10,10-13,20,3,-3,C,800,,2000,-5000,-8000,1000,上,,frame,654,ATK_1HP,,,,,,,,,,,,,
dhalsim,classic,アジャイルキック 弱,,,,,,,missing,1LK,1L,,,,,,,,,,,,,5,5-7,10,1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,frame,657,ATK_3LK,,,,,,,,,,,,,
dhalsim,classic,合掌キック 中,,,,,,,missing,4MK,AutoM,,,,,,,,,,,,,7,7-10,17,3,0,C,600,,1500,-3000,-4000,500,上,,frame,660,ATK_4MK,,,,,,,,,,,,,
dhalsim,classic,スラストキック 中,,,,,,,missing,1MK,1M,,,,,,,,,,,,,8,8-10,20,-3,-7,C,500,始動補正20%,1500,-3000,-4000,500,下,,frame,658,ATK_3MK,,,,,,,,,,,,,
dhalsim,classic,ヨガマウンテン 強,,,,,,,missing,4HK,,,,,,,,,,,,,,14,14-19,20,0,-9,,1000,,3000,-6000,-10000,1000,上,強制立ち効果 空中カウンター/パニッシュカウンター時吹き飛びダウン,frame,661,ATK_4HK,,,,,,,,,,,,,
dhalsim,classic,因果キック 強,,,,,,,missing,1HK,,,,,,,,,,,,,,9,9-11,22,D,-7,,900,,2500,-5000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン,frame,659,ATK_3HK,,,,,,,,,,,,,
dhalsim,classic,ドリル頭突き （ジャンプ中に） 弱,,,,,,,missing,2HK,2H,,,,,,,,,,,,,10,10-着地まで,着地後9,,,C,500,,1500,-3000,-4000,500,上,空中ヒット時吹き飛びダウン,frame,670,ATK_82K_H_Loop,,,,,,,,,,,,,
dhalsim,classic,弱 ドリルキック （ジャンプ中に） 弱,,,,,,,missing,2LK,2L,,,,,,,,,,,,,9,9-着地まで,着地後11,,,,500,始動補正20%,1500,-3000,-4000,500,上,,frame,666,ATK_82K_L_Loop,,,,,,,,,,,,,
dhalsim,classic,中 ドリルキック （ジャンプ中に） 中,,,,,,,missing,2MK,2M,,,,,,,,,,,,,9,9-着地まで,着地後11,,,,500,始動補正20%,1500,-3000,-4000,500,上,,frame,668,ATK_82K_M_Loop,,,,,,,,,,,,,
dhalsim,classic,強 ドリルキック （ジャンプ中に） 強,,,,,,,missing,2HK,2H,,,,,,,,,,,,,9,9-着地まで,着地後11,,,,500,始動補正20%,1500,-3000,-4000,500,上,,frame,670,ATK_82K_H_Loop,,,,,,,,,,,,,
dhalsim,classic,ロングスライディング 強,,,,,,,missing,1HK,,,,,,,,,,,,,,12,12-27,20,D,-16,,900,,2000,-4000,-7000,1000,下,カウンター/パニッシュカウンター時ダウン時間増加,frame,659,ATK_3HK,,,,,,,,,,,,,
dhalsim,classic,弱 ヨガファイア 弱,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,15,,全体 48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,,frame,901,SPA_YOGAFIRE(1),,,,,,,,,,,,,
dhalsim,classic,弱 ヨガファイア（ホールド） 弱ホールド,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,43,,全体 73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動,frame,901,SPA_YOGAFIRE(1),,,,,,,,,,,,,
dhalsim,classic,中 ヨガファイア 中,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,15,,全体 48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,,frame,905,SPA_YOGAFIRE(4),,,,,,,,,,,,,
dhalsim,classic,中 ヨガファイア（ホールド） 中ホールド,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,43,,全体 73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動,frame,906,SPA_YOGAFIRE(5),,,,,,,,,,,,,
dhalsim,classic,強 ヨガファイア 強,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,15,,全体 48,-2,-6,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,,frame,909,SPA_YOGAFIRE(7),,,,,,,,,,,,,
dhalsim,classic,強 ヨガファイア（ホールド） 強ホールド,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,43,,全体 73,D,-1,SA3,800,,2000,-4000,-3000,800,上 ・ 弾,29Fボタンホールドしているとホールド版が自動で発動,frame,910,SPA_YOGAFIRE(8),,,,,,,,,,,,,
dhalsim,classic,OD 弱 ヨガファイア 弱 中,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,12,,全体 45,D,-3,SA2,1000,,0,-4000,-5000,800,上 ・ 弾,,frame,912,SPA_YOGAFIRE(9),,,,,,,,,,,,,
dhalsim,classic,OD 中 ヨガファイア 弱 強,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,12,,全体 45,D,-3,SA2,1000,,0,-4000,-5000,800,上 ・ 弾,,frame,913,SPA_YOGAFIRE(10),,,,,,,,,,,,,
dhalsim,classic,OD 強 ヨガファイア 中 強,,,,,,,missing,236LP|236MP|236HP|236LPMP|236LPHP|236MPHP,236L|236M|5SP236H|236LM|236LH|AutoSP236MH,,,,,,,,,,,,,12,,全体 45,D,-3,SA2,1000,,0,-4000,-5000,800,上 ・ 弾,,frame,914,SPA_YOGAFIRE(11),,,,,,,,,,,,,
dhalsim,classic,弱 ヨガアーチ 弱,,,,,,,missing,236LK|236MK|236HK|236LKMK|236LKHK|236MKHK,6SP|6AutoSP,,,,,,,,,,,,,18,,全体 45,1,-1,SA3,600,,2000,-4000,-3000,600,上 ・ 弾,,frame,988,SPA_YOGAARCH,,,,,,,,,,,,,
